obs_time,point_id,rain_10min,rain_60min,rain_integ_resetspc
2014-04-30 00:00:00+09,1,0,10,70
2014-04-30 00:00:00+09,2,10,20,120
2014-04-30 00:00:00+09,3,10,30,100
2014-04-30 00:00:00+09,4,10,20,130
2014-04-30 00:00:00+09,5,10,30,130
2014-04-30 00:00:00+09,6,10,30,90
2014-04-30 00:00:00+09,11,10,20,120
2014-04-30 00:00:00+09,12,0,10,130
2014-04-30 00:00:00+09,13,10,30,100
2014-04-30 00:00:00+09,14,10,20,100
2014-04-30 00:00:00+09,15,10,30,140
2014-04-30 00:00:00+09,19,10,20,80
2014-04-30 00:00:00+09,20,0,10,110
2014-04-30 00:00:00+09,23,0,20,120
2014-04-30 00:00:00+09,37,10,20,90
2014-04-30 00:00:00+09,101,0,10,60
2014-04-30 00:00:00+09,102,0,10,70
2014-04-30 00:00:00+09,103,0,0,30
2014-04-30 00:00:00+09,104,0,10,60
2014-04-30 00:00:00+09,105,0,10,20
2014-04-30 00:00:00+09,106,0,10,40
2014-04-30 00:00:00+09,201,0,0,80
2014-04-30 00:00:00+09,202,0,0,40
2014-04-30 00:00:00+09,203,0,0,40
2014-04-30 00:00:00+09,205,0,10,40
2014-04-30 00:00:00+09,206,0,0,10
2014-04-30 00:00:00+09,207,0,0,100
2014-04-30 00:00:00+09,208,0,0,40
2014-04-30 00:00:00+09,215,0,0,30
2014-04-30 00:00:00+09,216,0,0,60
2014-04-30 00:00:00+09,217,10,10,100
2014-04-30 00:00:00+09,218,0,10,80
2014-04-30 00:00:00+09,219,0,10,40
2014-04-30 00:00:00+09,221,0,10,40
2014-04-30 00:00:00+09,223,0,0,40
2014-04-30 00:00:00+09,224,0,0,40
2014-04-30 00:00:00+09,225,0,10,90
2014-04-30 00:00:00+09,301,0,0,70
2014-04-30 00:00:00+09,302,0,10,50
2014-04-30 00:00:00+09,303,0,0,60
2014-04-30 00:00:00+09,304,0,0,50
2014-04-30 00:00:00+09,308,0,0,50
2014-04-30 00:00:00+09,309,0,10,60
