point_id,pointname,office_id,latitude,longitude,address
1,稲取,43,347786,1390528,賀茂郡東伊豆町稲取
2,天城,43,348136,1389364,賀茂郡河津町梨本
3,南伊豆,43,346494,1388611,賀茂郡南伊豆町下賀茂
4,門野,43,347738,1388208,賀茂郡松崎町門野
5,婆娑羅,43,347266,1388675,下田市加増野
6,下田,43,346791,1389533,下田市中
11,松崎,43,347555,1387825,賀茂郡松崎町江奈
12,仁科峠,43,348533,1388422,賀茂郡西伊豆町宇久須
13,椎原,43,347194,1389297,下田市椎原
14,湯ヶ野,43,347730,1389583,賀茂郡河津町湯ケ野
15,大峠,43,347097,1387863,賀茂郡松崎町岩科南側
19,熱川,43,348208,1390625,賀茂郡東伊豆町奈良本
20,宇久須,43,348436,1387908,賀茂郡西伊豆町宇久須
23,大鍋,43,347700,1388985,賀茂郡松崎町池代
37,白田,43,348044,1390111,賀茂郡東伊豆町白田
101,奥野ダム,42,349341,1390728,伊東市鎌田
102,鎌田,42,349275,1390589,伊東市鎌田
103,多賀,42,350463,1390642,熱海市下多賀
104,城ノ平,42,349341,1390860,伊東市荻
105,熱海,42,350925,1390719,熱海市水口町
106,伊東,42,349750,1390958,伊東市湯川
201,湯ヶ島,40,348986,1389286,伊豆市市山
202,丹那,40,351069,1390125,田方郡函南町平井
203,市ノ瀬,40,351697,1389528,裾野市茶畑
205,須山,40,352477,1388514,裾野市須山
206,愛鷹,40,351944,1388417,沼津市足高
207,船原,40,349211,1388447,伊豆市上船原
208,沼津,40,351049,1388617,沼津市高島本町
215,御殿場,40,352772,1389264,御殿場市竈
216,修善寺,40,349680,1389516,伊豆市加殿
217,土肥,40,349088,1387922,伊豆市土肥
218,天城高原(道),40,349025,1390417,伊豆市冷川
219,小山,40,353591,1389878,駿東郡小山町藤曲
221,三島,40,351158,1389216,三島市北田町
223,桑原,40,351458,1390008,田方郡函南町桑原
224,浮橋,40,350519,1390217,伊豆の国市浮橋
225,戸田新田,40,349727,1388192,沼津市戸田
301,勢子辻,41,352319,1387528,富士市桑崎
302,西船津,41,351466,1387672,富士市西船津
303,長貫,41,352022,1385697,富士宮市長貫
304,富士,41,351533,1386650,富士市本市場
308,富士宮,41,352113,1386167,富士宮市黒田
309,上井出,41,353088,1386008,富士宮市上井出
310,広見,41,353516,1386208,富士宮市広見
311,山宮,41,352822,1386433,富士宮市山宮
313,上条,41,352833,1385889,富士宮市上条
314,石坂,41,351813,1386878,富士市石坂
316,村山,41,352566,1386703,富士宮市村山
317,大渕(道),41,352994,1387521,富士市大渕
318,今宮,41,351947,1387253,富士市今宮
401,桑木穴,41,351472,1385800,富士市南松野
402,和田島,20,351086,1384807,静岡市清水区和田島
403,梅ヶ島,20,352550,1383456,静岡市葵区梅ヶ島
404,井川,20,352000,1382661,静岡市葵区井川
405,久能,20,349477,1384413,静岡市駿河区西平松
406,清沢,20,350313,1382564,静岡市葵区昼居渡
407,静岡,20,349652,1384094,静岡市駿河区有明町
412,能島,20,350213,1384617,静岡市清水区能島
418,麻機,20,350127,1384008,静岡市葵区平柳
419,俵沢,20,351041,1383683,静岡市葵区俵沢
420,平山,20,350738,1384292,静岡市葵区平山
422,用宗,20,349261,1383597,静岡市駿河区用宗
423,清水,20,350052,1384994,静岡市清水区日の出町
424,畑薙(道),20,353086,1381903,静岡市葵区田代
426,興津,20,350555,1385358,静岡市清水区興津中町
427,大川,20,350886,1382433,静岡市葵区楢尾
434,日本平,20,349761,1384669,静岡市清水区村松
501,本川根,21,351066,1381416,榛原郡川根本町千頭
502,伊久美,21,349638,1381581,島田市伊久美
503,島田,21,348358,1381767,島田市道悦
506,川根,21,349341,1380783,島田市川根町家山
511,藤枝,21,348452,1382392,藤枝市瀬戸新屋
512,瀬戸谷,21,349016,1382014,藤枝市滝沢
513,宮島,21,349483,1382525,藤枝市岡部町宮島
514,中港,21,348708,1383333,焼津市中港
601,静谷,21,347575,1381989,牧之原市静谷
602,波津,21,346775,1381981,牧之原市波津
603,御前崎,32,346052,1382203,御前崎市港
609,池新田,32,346502,1381278,御前崎市池新田
701,大河内,32,349405,1379856,周智郡森町三倉
702,粟ヶ岳,32,348380,1380806,掛川市東山
703,天方,32,348344,1379367,周智郡森町森
706,見付,32,347250,1378547,磐田市見付
707,小笠山,32,347305,1380166,掛川市入山瀬
708,牧の原,32,347625,1381406,菊川市沢水加
709,袋井,32,347372,1379250,袋井市山名町
715,掛川,32,347708,1380325,掛川市金城
716,大東,32,346716,1380444,掛川市大坂
